location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Indianapolis,02/01/2014 12:00:00 AM,0,0,0,0
Jackson,02/01/2014 12:00:00 AM,0,0,0,0
Las Vegas,02/01/2014 12:00:00 AM,0,0,0,0
Lubbock,02/01/2014 12:00:00 AM,0,0,0,0
Lexington,02/01/2014 12:00:00 AM,0,0,0,0
Lima,02/01/2014 12:00:00 AM,0,0,0.02,0
Little Rock,02/01/2014 12:00:00 AM,0,0,0,0
Odessa,02/01/2014 12:00:00 AM,0,0,0,0
Manaus,02/01/2014 12:00:00 AM,0,0,0.01,0
Maracaibo,02/01/2014 12:00:00 AM,0.03,0,0.08,0
Kansas City,02/01/2014 12:00:00 AM,0,0,0,0
Chicago,02/01/2014 12:00:00 AM,0,0,0,0
Memphis,02/01/2014 12:00:00 AM,0,0,0,0
Mexico City,02/01/2014 12:00:00 AM,0,0,0.02,0
Managua,02/01/2014 12:00:00 AM,0.02,0,0.07,0
Milwaukee,02/01/2014 12:00:00 AM,0,0,0,0
Monroe,02/01/2014 12:00:00 AM,0,0,0,0
Montserrat,02/01/2014 12:00:00 AM,0,0,0,0
Minneapolis,02/01/2014 12:00:00 AM,0,0,0,0
Maturin,02/01/2014 12:00:00 AM,0,0,0,0
Myrtle Beach,02/01/2014 12:00:00 AM,0,0,0.02,0
St. Kitts & Nevis,02/01/2014 12:00:00 AM,1,1,1,1
Oklahoma City,02/01/2014 12:00:00 AM,0,0,0,0
Omaha,02/01/2014 12:00:00 AM,0,0,0,0
Norfolk,02/01/2014 12:00:00 AM,0,0,0,0
Paramaribo,02/01/2014 12:00:00 AM,0.07,0,0.2,0
Philadelphia,02/01/2014 12:00:00 AM,0,0,0,0
Pittsburgh,02/01/2014 12:00:00 AM,0,0,0,0
Porlamar,02/01/2014 12:00:00 AM,0,0,0,0
Pensacola,02/01/2014 12:00:00 AM,0,0,0.03,0
Guadeloupe,02/01/2014 12:00:00 AM,1,1,1,1
Providence,02/01/2014 12:00:00 AM,0,0,0,0
Raleigh,02/01/2014 12:00:00 AM,0,0,0,0
Recife,02/01/2014 12:00:00 AM,0.01,0,0.01,0
Richmond,02/01/2014 12:00:00 AM,0,0,0,0
"Rochester, NY, US",02/01/2014 12:00:00 AM,0,0,0,0
San Salvador,02/01/2014 12:00:00 AM,0.02,0,0.06,0
San Diego,02/01/2014 12:00:00 AM,0,0,0.02,0
"San Antonio, US",02/01/2014 12:00:00 AM,0,0,0.02,0
St. Barthelemy,02/01/2014 12:00:00 AM,1,1,1,1
Louisville,02/01/2014 12:00:00 AM,0,0,0,0
Seattle,02/01/2014 12:00:00 AM,0,0,0,0
St. Martin,02/01/2014 12:00:00 AM,1,1,1,1
San Francisco,02/01/2014 12:00:00 AM,0,0,0.03,0
Salt Lake City,02/01/2014 12:00:00 AM,0,0,0,0
Salvador,02/01/2014 12:00:00 AM,0,0,0,0
St. Louis,02/01/2014 12:00:00 AM,0,0,0,0
