x,y
1830,71.001999
1831,71.066002
1832,71.375999
1833,68.587997
1834,71.117996
1835,70.919998
1836,71.136002
1837,71.113998
1838,70.120003
1839,71.150002
1840,71.93
1841,70.362
1842,69.019997
1843,67.403999
1844,67.468002
1845,65.167999
1846,65.234001
1847,64.174004
1848,64.015999
1849,66.306
1850,64.216003
1851,59.852001
1852,61.217999
1853,60.556
1854,61.209999
1855,60.877998
1856,60.598
1857,60.598
1858,63.080002
1859,61.740002
1860,62.259998
1861,62.5
1862,63.009998
1863,61.748001
1864,63.562
1865,62.52
1866,63.110001
1867,63.362
1868,63.509998
1869,61.507999
1870,61.77
1871,61.306
1872,61.040001
1873,60.740002
1874,62.652
1875,62.248001
1876,63.026001
1877,65.781998
1878,68.206001
1879,67.806
1880,67.578003
1881,68.690002
1882,67.774002
1883,66.220001
1884,65.795998
1885,66.332001
1886,65.040001
1887,63.458
1888,62.327999
1889,63.071999
1890,62.27
1891,64.106003
1892,63.450001
1893,62.924
1894,63.316002
1895,67.281998
1896,66.737999
1897,66.959999
1898,67.589996
1899,67.244003
1900,68.012001
1901,69.431999
1902,68.914001
1903,70.003998
1904,70.311996
1905,70.557999
1906,69.178001
1907,67.528
1908,68.57
1909,69.905998
1910,69.164001
1911,70.862
1912,69.849998
1913,68.75
1914,66.625999
1915,66.793999
1916,69.0
1917,63.046001
1918,62.084
1919,63.146
1920,64.732002
1921,64.461998
1922,66.814003
1923,67.098
1924,66.954002
1925,66.660004
1926,69.234001
1927,70.410004
1928,71.484001
1929,70.197998
1930,68.612
1931,66.185997
1932,67.024002
1933,66.669998
1934,65.639999
1935,66.459999
1936,65.82
1937,65.433998
1938,69.101997
1939,68.367996
1940,65.325996
1941,65.120003
1942,64.269997
1943,62.712002
1944,62.110001
1945,63.306
1946,61.82
1947,60.307999
1948,60.835999
1949,55.835999
1950,51.556
1951,53.226002
1952,50.495998
1953,53.506001
1954,57.388
1955,61.144001
1956,59.860001
1957,57.931999
1958,60.939999
1959,60.186001
1960,58.816002
1961,60.068001
1962,58.242001
1963,57.537998
1964,58.669998
1965,60.015999
1966,58.048
1967,56.674
1968,56.692001
1969,56.138
1970,57.096001
1971,58.816002
1972,58.779999
1973,59.984001
1974,60.23
1975,56.889999
1976,58.818001
1977,60.554001
1978,60.394001
1979,61.369999
1980,61.004002
1981,60.212002
1982,58.394001
1983,56.835999
1984,57.296001
1985,56.908001
1986,55.363998
1987,56.897999
1988,55.001999
1989,55.813999
1990,55.57
1991,55.77
1992,56.751999
1993,58.344002
1994,56.945999
1995,58.363998
1996,59.348
1997,58.226002
1998,63.900002
1999,63.217999
2000,63.532001
2001,66.419998
2002,68.554001
2003,68.956001
2004,71.543999
2005,71.634003
2006,74.166
